"room_type";"price";"review_scores_rating";"Wifi";"TV"
"Entire home/apt";55;5;"Non";"Oui"
"Entire home/apt";119;4,5;"Non";"Non"
"Entire home/apt";105;4,85;"Non";"Non"
"Entire home/apt";60;4,67;"Non";"Non"
"Private room";64;4,67;"Non";"Non"
"Entire home/apt";70;5;"Non";"Non"
"Private room";25;;"Non";"Non"
"Entire home/apt";79;4,4;"Non";"Oui"
"Entire home/apt";71;4,4;"Non";"Oui"
"Entire home/apt";75;;"Non";"Oui"
"Entire home/apt";175;;"Non";"Non"
"Entire home/apt";140;4,63;"Non";"Oui"
"Entire home/apt";114;4,75;"Non";"Oui"
"Entire home/apt";106;;"Non";"Non"
"Entire home/apt";70;4,86;"Non";"Oui"
"Entire home/apt";61;4,57;"Non";"Non"
"Private room";32;5;"Non";"Oui"
"Entire home/apt";90;5;"Non";"Oui"
"Private room";37;3,83;"Non";"Oui"
"Entire home/apt";40;;"Non";"Non"
"Entire home/apt";160;4;"Non";"Oui"
"Entire home/apt";60;5;"Non";"Non"
"Entire home/apt";53;4,67;"Non";"Non"
"Entire home/apt";68;4,67;"Non";"Non"
"Entire home/apt";199;3,33;"Non";"Non"
"Entire home/apt";75;4,93;"Non";"Oui"
"Entire home/apt";70;4;"Oui";"Oui"
"Entire home/apt";166;4,75;"Non";"Non"
"Entire home/apt";99;4,5;"Non";"Non"
"Entire home/apt";98;4,3;"Non";"Non"
"Entire home/apt";66;4,92;"Non";"Non"
"Entire home/apt";129;;"Non";"Non"
"Entire home/apt";85;4,83;"Non";"Oui"
"Private room";800;;"Non";"Oui"
"Entire home/apt";66;4,63;"Non";"Non"
"Entire home/apt";165;4,85;"Non";"Oui"
"Private room";40;;"Non";"Non"
"Hotel room";142;5;"Non";"Oui"
"Entire home/apt";50;4,83;"Non";"Oui"
"Shared room";26;4,89;"Non";"Oui"
"Entire home/apt";50;5;"Non";"Oui"
"Entire home/apt";255;4;"Non";"Non"
"Private room";209;5;"Non";"Non"
"Private room";80;4,8;"Non";"Oui"
"Hotel room";140;;"Non";"Non"
"Entire home/apt";80;4,55;"Non";"Oui"
"Entire home/apt";65;4,6;"Non";"Oui"
"Entire home/apt";350;4,94;"Non";"Oui"
"Entire home/apt";200;4,36;"Non";"Oui"
"Entire home/apt";50;4,8;"Oui";"Oui"
"Entire home/apt";70;5;"Non";"Non"
"Entire home/apt";50;;"Non";"Non"
"Private room";105;4,58;"Non";"Non"
"Entire home/apt";65;4,25;"Non";"Oui"
"Entire home/apt";130;5;"Non";"Oui"
"Private room";42;4,95;"Non";"Oui"
"Entire home/apt";110;4,83;"Non";"Non"
"Entire home/apt";213;;"Non";"Oui"
"Entire home/apt";70;;"Non";"Non"
"Entire home/apt";65;4,8;"Non";"Oui"
"Private room";50;5;"Non";"Oui"
"Entire home/apt";80;4,77;"Non";"Oui"
"Entire home/apt";70;4,55;"Non";"Non"
"Entire home/apt";129;4,18;"Non";"Oui"
"Entire home/apt";130;5;"Non";"Non"
"Entire home/apt";180;;"Oui";"Oui"
"Entire home/apt";135;;"Non";"Non"
"Entire home/apt";345;5;"Non";"Oui"
"Entire home/apt";160;4,83;"Non";"Oui"
"Entire home/apt";95;4,71;"Non";"Non"
"Entire home/apt";100;5;"Non";"Oui"
"Entire home/apt";110;4;"Non";"Non"
"Entire home/apt";200;5;"Non";"Oui"
"Entire home/apt";90;4,68;"Non";"Non"
"Private room";40;4,67;"Non";"Oui"
"Entire home/apt";69;4,85;"Non";"Oui"
"Private room";40;4,82;"Non";"Oui"
"Entire home/apt";100;5;"Non";"Non"
"Private room";50;3;"Non";"Non"
"Entire home/apt";35;4,56;"Non";"Oui"
"Entire home/apt";80;4;"Non";"Oui"
"Entire home/apt";78;4,38;"Non";"Oui"
"Entire home/apt";45;5;"Non";"Oui"
"Entire home/apt";120;;"Non";"Oui"
"Entire home/apt";130;4,35;"Non";"Non"
"Entire home/apt";200;5;"Non";"Non"
"Entire home/apt";175;4,92;"Non";"Oui"
"Entire home/apt";75;;"Non";"Oui"
"Entire home/apt";130;5;"Non";"Oui"
"Entire home/apt";190;4,86;"Non";"Oui"
"Entire home/apt";35;;"Non";"Non"
"Entire home/apt";50;4,64;"Non";"Oui"
"Entire home/apt";90;4,78;"Non";"Oui"
"Entire home/apt";65;5;"Non";"Non"
"Private room";61;4,57;"Non";"Non"
"Entire home/apt";50;4,67;"Non";"Oui"
"Entire home/apt";30;4,29;"Non";"Oui"
"Private room";340;5;"Non";"Oui"
"Private room";76;4,92;"Non";"Non"
"Entire home/apt";222;5;"Non";"Non"
"Entire home/apt";110;4,89;"Non";"Non"
"Entire home/apt";46;4,8;"Non";"Non"
"Entire home/apt";55;4,86;"Non";"Oui"
"Entire home/apt";70;5;"Non";"Oui"
"Entire home/apt";80;5;"Non";"Oui"
"Entire home/apt";75;4,63;"Non";"Oui"
"Entire home/apt";240;4,89;"Non";"Oui"
"Private room";107;4,67;"Non";"Oui"
"Private room";51;4,64;"Non";"Oui"
"Entire home/apt";90;;"Non";"Non"
"Entire home/apt";69;0;"Non";"Oui"
"Entire home/apt";57;4,5;"Non";"Oui"
"Entire home/apt";200;4,52;"Non";"Non"
"Private room";55;5;"Non";"Oui"
"Private room";60;5;"Non";"Oui"
"Entire home/apt";100;;"Non";"Non"
"Entire home/apt";69;;"Non";"Oui"
"Entire home/apt";38;5;"Non";"Oui"
"Entire home/apt";75;4,76;"Non";"Oui"
"Entire home/apt";100;5;"Non";"Non"
